"HostID","2021-02-01","2021-02-02","2021-02-03","2021-02-04","2021-02-05","2021-02-06","2021-02-07","2021-02-08","2021-02-09","2021-02-10","2021-02-11","2021-02-12","2021-02-13","2021-02-14","2021-02-15","2021-02-16","2021-02-17","Total"
"434",38,7,67,2,140,94,136,119,41,27,62,62,92,116,54,66,45,1168
"407",16,87,89,17,71,65,77,36,27,64,54,42,68,98,30,60,90,991
"53",49,50,90,3,44,80,39,25,53,60,48,54,48,67,82,63,45,900
"421",49,36,57,6,50,42,76,18,71,60,85,21,79,62,83,64,24,883
"409",0,98,55,129,62,6,23,18,0,28,29,65,73,56,48,100,87,877
"75",21,58,18,56,52,55,63,54,48,38,77,63,34,94,41,59,33,864
"417",0,65,60,98,35,90,28,63,38,37,0,63,137,106,2,0,0,822
"499",1,0,0,78,105,58,13,43,67,46,110,13,105,0,79,59,37,814
"408",63,24,47,0,136,48,54,81,22,40,35,44,0,45,15,40,109,803
"82",32,37,33,21,48,26,67,12,35,96,58,55,77,54,27,46,79,803
"425",23,95,77,123,3,52,1,46,26,69,33,35,18,0,60,46,84,791
"435",2,42,26,15,60,1,73,7,40,75,70,81,51,100,60,79,0,782
"85",37,55,85,29,86,60,34,10,0,126,2,31,81,56,58,29,0,779
"96",27,21,22,54,78,12,40,42,58,49,30,71,99,66,47,10,40,766
"447",1,44,19,27,30,64,20,35,26,55,57,61,91,56,70,100,2,758
"498",1,0,0,65,12,33,32,41,65,92,52,77,60,90,63,52,20,755
"416",19,22,34,65,0,54,68,68,56,31,39,43,25,34,84,50,53,745
"440",1,0,0,0,0,0,86,13,23,50,58,61,78,118,117,63,57,725
"412",38,74,4,23,65,0,43,51,86,76,0,54,0,69,27,21,89,720
"497",2,0,0,88,70,41,16,15,31,72,57,7,27,101,31,59,94,711
"433",1,26,105,0,0,82,103,0,0,0,48,117,119,60,44,0,0,705
"443",1,0,0,0,0,79,112,57,48,19,51,77,50,56,44,51,59,704
"456",0,75,38,44,65,67,40,30,61,42,49,77,24,0,56,15,1,684
"70",27,0,37,38,25,33,68,0,50,55,25,43,59,70,43,37,72,682
"201",12,7,48,51,44,81,51,57,70,18,36,84,96,25,0,0,0,680
"480",1,0,0,43,15,37,48,51,11,52,52,42,88,4,55,116,48,663
"410",66,38,31,0,82,59,17,7,54,68,0,1,92,23,66,57,0,661
"436",0,16,0,55,0,26,32,54,39,117,32,39,49,29,16,75,80,659
"423",0,34,48,0,60,108,37,42,46,3,67,15,64,0,28,88,10,650
